Iteration,S,E,I,R
0,19956,24,18,2
1,19937,37,20,6
2,19916,53,22,9
3,19894,63,30,13
4,19868,72,45,15
5,19826,95,56,23
6,19783,113,71,33
7,19716,151,92,41
8,19646,183,120,51
9,19520,266,153,61
10,19386,325,204,85
11,19206,423,253,118
12,18973,546,334,147
13,18665,685,450,200
14,18293,875,576,256
15,17790,1111,761,338
16,17219,1390,937,454
17,16490,1728,1202,580
18,15643,2126,1486,745
19,14650,2491,1918,941
20,13486,2922,2392,1200
21,12117,3464,2900,1519
22,10669,3918,3514,1899
23,9207,4301,4108,2384
24,7766,4581,4718,2935
25,6342,4677,5424,3557
26,5070,4631,6009,4290
27,3947,4488,6450,5115
28,3052,4113,6879,5956
29,2321,3715,7068,6896
30,1776,3292,7126,7806
31,1370,2762,7130,8738
32,1067,2367,6873,9693
33,857,1966,6624,10553
34,704,1605,6288,11403
35,618,1279,5940,12163
36,535,1022,5480,12963
37,476,810,5123,13591
38,443,663,4684,14210
39,429,547,4215,14809
40,433,435,3815,15317
41,441,372,3425,15762
42,440,313,3085,16162
43,457,246,2751,16546
44,468,198,2425,16909
45,484,172,2168,17176
46,520,150,1906,17424
47,564,137,1662,17637
48,588,140,1474,17798
49,625,126,1277,17972
50,672,109,1136,18083
51,699,120,1005,18176
52,750,110,887,18253
53,798,92,801,18309
54,841,78,724,18357
55,913,81,647,18359
56,961,79,588,18372
57,993,75,540,18392
58,1040,68,483,18409
59,1082,58,430,18430
60,1138,52,388,18422
61,1182,52,355,18411
62,1231,50,311,18408
63,1270,54,286,18390
64,1327,48,249,18376
65,1382,46,220,18352
66,1426,43,194,18337
67,1493,46,180,18281
68,1555,39,170,18236
69,1614,40,153,18193
70,1665,36,132,18167
71,1719,29,126,18126
72,1781,27,111,18081
73,1819,28,107,18046
74,1874,31,97,17998
75,1929,30,92,17949
76,1975,27,88,17910
77,2029,29,81,17861
78,2086,22,82,17810
79,2129,24,76,17771
80,2179,21,72,17728
81,2223,23,66,17688
82,2293,20,66,17621
83,2356,15,65,17564
84,2398,16,61,17525
85,2443,22,53,17482
86,2494,18,54,17434
87,2546,20,52,17382
88,2597,16,52,17335
89,2647,20,50,17283
90,2689,16,52,17243
91,2745,19,51,17185
92,2791,15,52,17142
93,2843,14,48,17095
94,2902,13,45,17040
95,2951,12,41,16996
96,3012,16,38,16934
97,3063,16,36,16885
98,3122,15,35,16828
99,3169,14,35,16782
100,3209,10,34,16747
101,3267,10,28,16695
102,3306,8,25,16661
103,3361,6,23,16610
104,3409,4,23,16564
105,3461,4,21,16514
106,3520,5,17,16458
107,3568,6,14,16412
108,3610,9,16,16365
109,3665,10,16,16309
110,3724,9,13,16254
111,3776,7,14,16203
112,3832,8,14,16146
113,3868,9,12,16111
114,3913,5,14,16068
115,3960,6,14,16020
116,3999,6,16,15979
117,4046,6,17,15931
118,4084,7,17,15892
119,4120,12,16,15852
120,4161,13,17,15809
121,4208,7,19,15766
122,4256,11,19,15714
123,4301,13,16,15670
124,4333,13,15,15639
125,4380,11,14,15595
126,4415,10,16,15559
127,4455,9,18,15518
128,4490,16,17,15477
129,4532,17,14,15437
130,4560,14,15,15411
131,4606,16,16,15362
132,4653,14,17,15316
133,4703,14,17,15266
134,4732,14,19,15235
135,4770,8,22,15200
136,4821,11,17,15151
137,4856,12,18,15114
138,4895,14,19,15072
139,4939,15,18,15028
140,4975,14,21,14990
141,5003,12,26,14959
142,5034,15,28,14923
143,5064,19,29,14888
144,5112,14,31,14843
145,5147,22,30,14801
146,5183,27,37,14753
147,5211,29,39,14721
148,5240,25,42,14693
149,5273,23,44,14660
150,5293,26,45,14636
151,5322,32,38,14608
152,5367,29,43,14561
153,5390,39,41,14530
154,5414,33,48,14505
155,5445,37,53,14465
156,5480,38,50,14432
157,5500,37,54,14409
158,5525,29,62,14384
159,5550,33,62,14355
160,5570,31,62,14337
161,5599,37,63,14301
162,5626,42,59,14273
163,5660,35,66,14239
164,5685,35,71,14209
165,5704,40,69,14187
166,5725,49,68,14158
167,5757,39,82,14122
168,5777,53,82,14088
169,5796,55,89,14060
170,5803,59,97,14041
171,5823,61,102,14014
172,5826,72,102,14000
173,5847,65,109,13979
174,5870,60,119,13951
175,5894,70,118,13918
176,5920,75,118,13887
177,5934,74,129,13863
178,5940,87,135,13838
179,5928,100,151,13821
180,5933,114,149,13804
181,5951,113,171,13765
182,5959,119,177,13745
183,5962,139,176,13723
184,5965,144,192,13699
185,5961,144,206,13689
186,5957,142,216,13685
187,5953,149,229,13669
188,5930,175,234,13661
189,5923,178,252,13647
190,5911,206,266,13617
191,5882,208,283,13627
192,5851,214,311,13624
193,5822,209,335,13634
194,5782,239,335,13644
195,5747,246,353,13654
196,5719,269,355,13657
197,5648,288,408,13656
198,5585,318,414,13683
199,5549,311,440,13700
200,5486,320,472,13722
201,5416,324,508,13752
202,5363,316,532,13789
203,5298,354,540,13808
204,5229,371,559,13841
205,5171,384,581,13864
206,5069,435,588,13908
207,5011,437,635,13917
208,4930,444,670,13956
209,4856,438,691,14015
210,4789,450,713,14048
211,4685,467,731,14117
212,4616,461,773,14150
213,4530,473,793,14204
214,4436,478,814,14272
215,4336,482,842,14340
216,4232,483,867,14418
217,4147,475,872,14506
218,4077,486,864,14573
219,3985,476,889,14650
220,3917,467,904,14712
221,3836,478,907,14779
222,3773,466,924,14837
223,3679,484,931,14906
224,3599,502,932,14967
225,3513,494,960,15033
226,3444,477,991,15088
227,3354,502,993,15151
228,3275,485,1006,15234
229,3203,495,979,15323
230,3134,483,987,15396
231,3082,472,962,15484
232,3045,437,960,15558
233,3008,426,937,15629
234,2961,410,942,15687
235,2923,385,953,15739
236,2867,391,946,15796
237,2814,379,917,15890
238,2783,361,896,15960
239,2759,336,913,15992
240,2733,328,886,16053
241,2701,350,848,16101
242,2698,338,802,16162
243,2697,327,774,16202
244,2720,303,741,16236
245,2741,269,735,16255
246,2737,292,670,16301
247,2776,261,648,16315
248,2795,250,646,16309
249,2819,243,637,16301
250,2839,240,590,16331
251,2845,238,568,16349
252,2862,245,547,16346
253,2880,229,548,16343
254,2889,232,529,16350
255,2915,223,498,16364
256,2949,223,488,16340
257,2968,229,482,16321
258,3001,215,487,16297
259,3029,210,491,16270
260,3061,206,497,16236
261,3077,239,463,16221
262,3117,224,460,16199
263,3162,214,448,16176
264,3192,201,444,16163
265,3219,199,438,16144
266,3261,184,440,16115
267,3272,214,431,16083
268,3289,216,432,16063
269,3306,224,440,16030
270,3345,227,413,16015
271,3369,224,397,16010
272,3402,208,410,15980
273,3429,198,424,15949
274,3458,181,435,15926
275,3465,202,435,15898
276,3470,208,446,15876
277,3511,212,426,15851
278,3543,213,418,15826
279,3587,209,406,15798
280,3598,219,422,15761
281,3636,209,414,15741
282,3666,208,400,15726
283,3695,214,394,15697
284,3721,224,389,15666
285,3763,214,394,15629
286,3807,207,374,15612
287,3814,219,406,15561
288,3842,210,411,15537
289,3847,224,409,15520
290,3859,261,405,15475
291,3871,242,420,15467
292,3877,254,423,15446
293,3901,247,433,15419
294,3921,224,454,15401
295,3933,227,473,15367
296,3945,226,490,15339
297,3955,226,478,15341
298,3947,239,477,15337
299,3947,238,491,15324
300,3936,257,490,15317
301,3952,257,489,15302
302,3964,260,485,15291
303,3964,264,501,15271
304,3969,267,492,15272
305,3993,245,504,15258
306,3993,245,511,15251
307,3988,264,507,15241
308,3994,263,526,15217
309,4022,267,532,15179
310,4056,237,534,15173
311,4064,254,528,15154
312,4079,250,523,15148
313,4087,261,499,15153
314,4099,239,522,15140
315,4088,270,517,15125
316,4104,279,522,15095
317,4117,276,531,15076
318,4138,277,531,15054
319,4166,286,531,15017
320,4187,259,554,15000
321,4189,265,544,15002
322,4197,282,545,14976
323,4207,269,562,14962
324,4202,300,542,14956
325,4206,274,593,14927
326,4240,268,582,14910
327,4244,284,574,14898
328,4211,305,556,14928
329,4232,292,544,14932
330,4218,313,549,14920
331,4214,304,564,14918
332,4205,300,564,14931
333,4191,314,573,14922
334,4156,336,592,14916
335,4145,337,609,14909
336,4138,344,614,14904
337,4127,338,640,14895
338,4111,345,623,14921
339,4107,345,644,14904
340,4102,348,666,14884
341,4106,358,670,14866
342,4103,360,668,14869
343,4103,356,684,14857
344,4094,365,679,14862
345,4083,348,690,14879
346,4045,378,668,14909
347,4011,376,690,14923
348,3980,402,686,14932
349,3991,378,714,14917
350,3964,386,720,14930
351,3942,383,733,14942
352,3932,385,723,14960
353,3894,405,740,14961
354,3877,381,765,14977
355,3878,377,779,14966
356,3874,389,765,14972
357,3866,373,775,14986
358,3832,410,756,15002
359,3833,404,771,14992
360,3842,398,770,14990
361,3850,383,780,14987
362,3815,419,759,15007
363,3801,420,759,15020
364,3778,412,768,15042
365,3748,388,822,15042
366,3728,389,818,15065
367,3688,417,807,15088
368,3660,413,807,15120
369,3654,385,820,15141
370,3623,420,788,15169
371,3600,402,807,15191
372,3578,405,804,15213
373,3574,372,826,15228
374,3552,377,813,15258
375,3544,373,812,15271
376,3530,364,818,15288
377,3497,378,825,15300
378,3480,383,850,15287
379,3489,377,845,15289
380,3481,383,824,15312
381,3455,408,809,15328
382,3442,393,813,15352
383,3433,398,815,15354
384,3440,394,814,15352
385,3425,385,816,15374
386,3406,368,835,15391
387,3383,363,828,15426
388,3398,357,816,15429
389,3390,368,805,15437
390,3390,350,789,15471
391,3389,355,750,15506
392,3402,369,738,15491
393,3411,350,735,15504
394,3416,348,729,15507
395,3390,368,720,15522
396,3415,356,716,15513
397,3391,387,718,15504
398,3389,378,720,15513
399,3370,365,718,15547
400,3377,358,717,15548
401,3412,340,712,15536
402,3408,333,705,15554
403,3415,346,673,15566
404,3432,326,685,15557
405,3436,331,684,15549
406,3455,336,704,15505
407,3448,350,710,15492
408,3462,338,694,15506
409,3450,342,684,15524
410,3470,337,706,15487
411,3469,332,717,15482
412,3464,341,713,15482
413,3473,352,706,15469
414,3462,346,711,15481
415,3457,334,716,15493
416,3466,334,704,15496
417,3481,343,679,15497
418,3491,338,676,15495
419,3516,317,673,15494
420,3517,328,678,15477
421,3510,331,669,15490
422,3500,320,669,15511
423,3508,321,671,15500
424,3524,318,678,15480
425,3532,333,664,15471
426,3544,341,678,15437
427,3560,349,662,15429
428,3541,350,670,15439
429,3563,309,683,15445
430,3547,332,672,15449
431,3571,321,674,15434
432,3594,306,687,15413
433,3571,316,684,15429
434,3587,309,676,15428
435,3582,345,655,15418
436,3631,319,652,15398
437,3644,309,647,15400
438,3639,306,659,15396
439,3648,301,656,15395
440,3678,314,651,15357
441,3669,321,652,15358
442,3663,327,645,15365
443,3656,324,662,15358
444,3662,331,637,15370
445,3669,330,658,15343
446,3676,330,658,15336
447,3668,336,651,15345
448,3674,356,640,15330
449,3665,324,651,15360
450,3694,310,640,15356
451,3692,310,634,15364
452,3705,312,625,15358
453,3708,295,640,15357
454,3720,306,607,15367
455,3737,305,598,15360
456,3769,297,598,15336
457,3778,307,587,15328
458,3773,321,589,15317
459,3788,307,606,15299
460,3790,292,627,15291
461,3781,308,613,15298
462,3783,320,596,15301
463,3774,315,614,15297
464,3787,309,622,15282
465,3781,315,614,15290
466,3795,295,614,15296
467,3790,302,627,15281
468,3774,306,636,15284
469,3779,314,641,15266
470,3772,325,635,15268
471,3784,332,622,15262
472,3796,337,630,15237
473,3784,359,629,15228
474,3793,326,666,15215
475,3796,343,651,15210
476,3813,331,659,15197
477,3797,323,668,15212
478,3795,329,656,15220
479,3805,331,650,15214
480,3805,334,644,15217
481,3812,329,620,15239
482,3807,321,655,15217
483,3814,327,643,15216
484,3822,334,629,15215
485,3831,314,641,15214
486,3811,339,630,15220
487,3825,318,645,15212
488,3801,329,634,15236
489,3799,325,641,15235
490,3821,304,645,15230
491,3816,314,634,15236
492,3823,308,641,15228
493,3818,312,653,15217
494,3811,309,669,15211
495,3798,316,662,15224
496,3792,314,673,15221
497,3790,312,666,15232
498,3756,338,658,15248
499,3745,343,667,15245
500,3742,324,685,15249
501,3743,350,675,15232
502,3732,358,671,15239
503,3729,355,686,15230
504,3697,371,712,15220
505,3680,367,719,15234
506,3687,346,739,15228
507,3681,358,722,15239
508,3665,362,739,15234
509,3664,362,725,15249
510,3652,382,706,15260
511,3635,388,707,15270
512,3646,359,732,15263
513,3617,360,755,15268
514,3597,372,742,15289
515,3575,379,728,15318
516,3582,385,718,15315
517,3597,356,732,15315
518,3581,361,727,15331
519,3576,371,727,15326
520,3599,364,726,15311
521,3605,370,719,15306
522,3607,362,733,15298
523,3597,362,731,15310
524,3594,365,726,15315
525,3600,340,735,15325
526,3607,341,733,15319
527,3622,335,720,15323
528,3598,340,744,15318
529,3575,366,734,15325
530,3554,371,725,15350
531,3547,361,710,15382
532,3555,352,697,15396
533,3563,330,707,15400
534,3543,345,701,15411
535,3529,353,692,15426
536,3523,362,685,15430
537,3527,359,695,15419
538,3527,353,686,15434
539,3536,332,700,15432
540,3536,320,715,15429
541,3523,329,727,15421
542,3506,342,734,15418
543,3501,339,728,15432
544,3479,359,732,15430
545,3457,377,724,15442
546,3478,368,735,15419
547,3488,338,736,15438
548,3469,355,724,15452
549,3473,335,729,15463
550,3471,337,744,15448
551,3481,344,735,15440
552,3492,349,724,15435
553,3496,360,725,15419
554,3507,349,726,15418
555,3533,344,718,15405
556,3567,324,710,15399
557,3561,331,682,15426
558,3541,342,679,15438
559,3532,355,677,15436
560,3536,351,681,15432
561,3531,350,704,15415
562,3539,340,715,15406
563,3535,326,722,15417
564,3542,324,717,15417
565,3555,325,715,15405
566,3566,310,718,15406
567,3547,328,710,15415
568,3535,339,690,15436
569,3541,340,679,15440
570,3532,340,679,15449
571,3535,318,709,15438
572,3513,345,673,15469
573,3505,347,673,15475
574,3512,334,678,15476
575,3504,326,687,15483
576,3530,310,695,15465
577,3554,312,701,15433
578,3551,324,682,15443
579,3573,317,673,15437
580,3567,326,677,15430
581,3586,310,682,15422
582,3614,302,689,15395
583,3610,328,665,15397
584,3586,351,660,15403
585,3599,345,668,15388
586,3607,346,675,15372
587,3608,351,664,15377
588,3604,345,676,15375
589,3611,365,665,15359
590,3633,359,674,15334
591,3651,334,698,15317
592,3663,343,689,15305
593,3670,332,695,15303
594,3659,338,696,15307
595,3662,332,706,15300
596,3692,309,702,15297
597,3682,332,690,15296
598,3681,337,667,15315
599,3656,355,681,15308
600,3654,347,689,15310
601,3661,336,672,15331
602,3632,335,684,15349
603,3621,351,659,15369
604,3634,335,671,15360
605,3621,354,675,15350
606,3639,333,689,15339
607,3647,338,686,15329
608,3651,352,680,15317
609,3649,332,694,15325
610,3646,345,683,15326
611,3658,357,677,15308
612,3653,357,680,15310
613,3655,346,695,15304
614,3674,339,685,15302
615,3693,325,701,15281
616,3681,338,703,15278
617,3692,320,731,15257
618,3696,355,710,15239
619,3701,356,724,15219
620,3715,334,728,15223
621,3754,338,716,15192
622,3744,328,718,15210
623,3733,353,690,15224
624,3754,344,688,15214
625,3760,348,691,15201
626,3777,355,684,15184
627,3773,365,685,15177
628,3766,374,706,15154
629,3770,358,732,15140
630,3782,377,702,15139
631,3778,376,720,15126
632,3756,386,721,15137
633,3739,396,716,15149
634,3751,388,738,15123
635,3727,368,756,15149
636,3709,373,767,15151
637,3702,362,764,15172
638,3682,365,774,15179
639,3672,383,754,15191
640,3675,403,736,15186
641,3679,404,743,15174
642,3695,373,733,15199
643,3693,365,761,15181
644,3717,336,753,15194
645,3726,355,733,15186
646,3710,391,719,15180
647,3699,407,703,15191
648,3707,381,741,15171
649,3702,385,750,15163
650,3676,398,756,15170
651,3662,390,762,15186
652,3626,394,768,15212
653,3608,397,763,15232
654,3584,378,763,15275
655,3577,374,773,15276
656,3572,353,776,15299
657,3552,385,746,15317
658,3562,369,734,15335
659,3567,367,743,15323
660,3575,363,742,15320
661,3581,359,738,15322
662,3560,378,727,15335
663,3550,372,727,15351
664,3547,390,728,15335
665,3563,382,723,15332
666,3583,354,745,15318
667,3627,329,749,15295
668,3630,340,761,15269
669,3623,348,744,15285
670,3641,332,757,15270
671,3614,353,749,15284
672,3585,371,753,15291
673,3589,380,754,15277
674,3546,383,758,15313
675,3575,330,785,15310
676,3584,352,767,15297
677,3591,360,765,15284
678,3597,330,781,15292
679,3597,342,763,15298
680,3608,338,767,15287
681,3610,341,757,15292
682,3592,372,743,15293
683,3585,368,727,15320
684,3585,377,718,15320
685,3590,363,720,15327
686,3605,368,710,15317
687,3605,354,707,15334
688,3624,355,706,15315
689,3623,372,690,15315
690,3618,358,692,15332
691,3618,360,690,15332
692,3620,357,708,15315
693,3637,334,711,15318
694,3632,341,709,15318
695,3629,353,689,15329
696,3631,356,688,15325
697,3647,328,716,15309
698,3663,328,696,15313
699,3667,331,701,15301
700,3649,336,701,15314
701,3633,344,704,15319
702,3629,344,685,15342
703,3663,318,695,15324
704,3662,319,680,15339
705,3682,334,667,15317
706,3681,331,644,15344
707,3679,340,638,15343
708,3668,341,641,15350
709,3691,324,659,15326
710,3683,340,642,15335
711,3713,324,645,15318
712,3716,331,650,15303
713,3714,315,663,15308
714,3703,313,679,15305
715,3699,321,666,15314
716,3696,317,684,15303
717,3692,320,669,15319
718,3683,333,643,15341
719,3669,335,657,15339
720,3668,339,674,15319
721,3648,347,686,15319
722,3641,359,698,15302
723,3653,349,692,15306
724,3660,342,719,15279
725,3668,353,719,15260
726,3664,356,729,15251
727,3685,339,741,15235
728,3680,342,739,15239
729,3682,346,725,15247
